,"M DE FOSILES, ROCAS Y MINERALES ",,,,,,,,,,,,,,,,,,,,,
,INVENTARIO DEL PATRIMONIO MINERALOGICO PT. 2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CLAVE,NOMBRE,PROCEDENCIA,DESCRIPCION,UBICACIÓN,,IMAGEN,FECHA,OBSERVACION ,LUMINISCENCIA ,Tamaño,,,,,,,,,,,
,,,,,No. De caja ,No. De caja mediana ,,,,,Talla ,Medidas (cm),tipo,estatus,,,,,,,,
,72,Andradita y calcita,,"Cristal anhedral de color blanco, translucido y brillo nacarado de calcita. Sobre cristales prismáticos de andradita color pardo, transparente y brillo vitreo. ",1/106,6,,28/01/2025,Tienda ,,,,13,,,,,,,,,
,73,Cuarzo ahumado ,,"Cristales prismáticos color gris, translucido y brillo vitreo. Presentan un recubrimiento de óxidos de hierro. ",1/106,6,,28/01/2025,Tienda ,,,,14,,,,,,,,,
,74,Ortoclasa,,"Cristales prismáticos color crema, semiopaco y brillo nacarado. Están recubiertos por microcristales color beige, translucido y brillo vitreo. ",1/106,6,,28/01/2025,Tienda ,Crema ,,,15,,,,,,,,,
,75,Azufre nativo,,"Cristales prismáticos de color amarillo, transparente y brillo ceroso. Sobre un cristal anhedral de cuarzo blanco, translucido y brillo vitreo. ",1/106,6,,28/01/2025,H,,,,16,,,,,,,,,
,76,Cuarzo y clorita ,,"Drusa de cristales prismáticos de cuarzo color blanco,  translucido y brillo vitreo. Con Recubrimiento de clorita color verde, translucido y brillo mate. ",1/106,6,,28/01/2025,Tienda ,,,,17,,,,,,,,,
,77,Cerusita ,,"Cristales prismáticos color amarillo a gris, transparente y brillo adamantino. Sobre una matriz de limonitas. ",1/106,6,,28/01/2025,Tienda ,Amarillo ,,,18,,,,,,,,,
,78,Malaquita psedu azurita,,"Cristales de azurita reemplazados por malaquita color verde, translucido y brillo sedoso. Zonas con malaquita radiada. Y presenta parches de azurita. ",1/106,7,,29/01/2025,Tienda ,,,,1,,,,,,,,,
,79,Malaquita psedu azurita,,"Cristales  prismáticos de azurita reemplazados por malaquita color verde, translucido y brillo sedosos. ",1/106,7,,29/01/2025,Tienda ,,,,2,,,,,,,,,
,80,Malaquita psedu azurita,,"Cristales prismáticos de azurita reemplazados por malaquita color verde, translucido y brillo sedoso. Con parches y vetas de azurita color azul, mate y opaco. ",1/106,7,,29/01/2025,Tienda ,,,,3,,,,,,,,,
,81,Goethita psedu selenita,,"Costra de recubrimiento de cristales de selenita por goethita color amarillo pardo, opaco y brillo mate. ",1/106,7,,29/01/2025,Tienda ,,,,4,,,,,,,,,
,82,Adamita,,"Cristales prismáticos de color amarillo verdoso, transparente y brillo vitreo. Sobre una matriz de limonitas. ",1/106,7,,29/01/2025,Tienda ,Verde,,,5,,,,,,,,,
,83,Malaquita,,"Cristales reniformes y botroidales  de malaquita color verde, translúcida y brillo sedosos. ",1/106,7,,29/01/2025,Tienda ,,,,6,,,,,,,,,
,84,Adamita y Kottigita ,,"Cristales radiados de color amarillo, translucido y brillo vitreo de adamita. Que están sobre cristales radiados de Kottigita color gris verdoso, translucido y brillo resinoso. Sobre una matriz de limonitas. ",1/106,7,,29/01/2025,Tienda ,Verde,,,7,,,,,,,,,
,85,Malaquita psedu azurita,,"Cristales prismáticos de azurita reemplazados por malaquita color verde, translucido y brillo sedoso. Con parches  de azurita color azul, mate y opaco. ",1/106,7,,29/01/2025,Tienda ,,,,8,,,,,,,,,
,86,Adamita y Kottigita ,,"Microcristales de adamita color amarillo, transparente y brillo vitreo. Sobre cristales radiados de kottigita color gris verdoso, translucido y brillo resinoso. Estos sobre una matriz de limonitas. ",1/106,7,,29/01/2025,Tienda ,Verde,,,9,,,,,,,,,
,87,Malaquita psedu azurita,,"Cristales prismáticos de azurita reemplazados por malaquita de color verde, translucido y brillo sedoso.  Además de partes con habito fibroso. ",1/106,7,,29/01/2025,Tienda ,,,,10,,,,,,,,,
,88,Malaquita,,"cristal botroidal color verde, translucido y brillo sedoso. ",1/106,7,,29/01/2025,Tienda ,,,,11,,,,,,,,,
